,Source,Destination,Flow_Path,Total_Measured_Latency_ms,Total_Geo_Latency_ms,Delta_Latency_ms,Representative_Flow_ID,Occurrence_Count,Multiple_Paths
0,DA_FTKNOX_KY,UURWMEA110,"DA_FTKNOX_KY -> UJEWKNO030 ->(0.5, N/A)-> UJEWKNO040 ->(2.0, 1.36)-> UJEWWPA040 ->(0.5, N/A)-> UJEWWPA030 ->(0.5, N/A)-> UJPWWPA010 -> [UJP_MESH] -> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 -> UURWMEA110",5.885,2.0,0.0,1:eLVfhmAsU7H0y+5G1zbKoHTiTwA=,1,False
1,DA_FTKNOX_KY,UURWMEA120,"DA_FTKNOX_KY -> UJEWKNO030 ->(0.5, N/A)-> UJEWKNO040 ->(2.0, 1.36)-> UJEWWPA040 ->(0.5, N/A)-> UJEWWPA030 ->(0.5, N/A)-> UJPWWPA010 -> [UJP_MESH] -> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",6.385,2.0,0.0,1:C9fK5wIxVyUVoLx2JJ8WgEl5Yi0=,3,False
2,DC_DCMAMVNY_NY,UURWMEA110,"DC_DCMAMVNY_NY -> UJEWPHI030 ->(2.0, 0.82)-> UJEWMEA040 -> UURWMEA110",2.0,0.82,0.0,1:dILmYRhOmh/n1Z52xlRNppYP06g=,2,False
3,DC_DCMAMVNY_NY,UURWMEA120,"DC_DCMAMVNY_NY -> UJEWPHI030 ->(2.0, 0.82)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",2.5,0.82,0.0,1:0syLNFrhp5pv45Hx6bfUAkSOL/g=,3,False
4,DD_COLUMBUS_OH,UURWMEA110,"DD_COLUMBUS_OH -> UJEWCOL040 ->(0.5, N/A)-> UJEWCOL030 ->(4.5, 2.55)-> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 -> UURWMEA110",7.385,3.19,0.0,1:nCD4JVrfwJbAoz8VC8yR+sdPqEI=,1,False
5,DD_CRYSLML1_VA,UURWMEA110,"DD_CRYSLML1_VA -> UJEWCCY030 ->(1.0, 0.03)-> UJEWPNT030 ->(0.5, N/A)-> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 -> UURWMEA110",2.73,0.21,0.0,1:3K3NYYPxQKqh/AqKJPQZlxxdkuM=,2,False
6,DD_CRYSLML1_VA,UURWMEA120,"DD_CRYSLML1_VA -> UJEWCCY030 ->(1.0, 0.03)-> UJEWPNT030 ->(0.5, N/A)-> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 -> UURWMEA120",2.23,0.21,0.0,1:88MjUD6v7RFsIQVchAWp+/D0OFI=,2,False
7,DD_CRYSTLCY_VA,UURWMEA110,"DD_CRYSTLCY_VA -> UJEWCCY040 ->(0.5, N/A)-> UJEWCCY030 ->(1.0, 0.03)-> UJEWPNT030 ->(0.5, N/A)-> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 -> UURWMEA110",3.23,0.21,0.0,1:4vCASBGw+XsjKW9RXrizz9djk5I=,2,False
8,DD_CRYSTLCY_VA,UURWMEA120,"DD_CRYSTLCY_VA -> UJEWCCY040 ->(0.5, N/A)-> UJEWCCY030 ->(1.0, 0.03)-> UJEWPNT030 ->(0.5, N/A)-> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 -> UURWMEA120",2.73,0.21,0.0,1:+tsZs1ulSBqgAgsBv6kxUlph7F4=,2,False
9,DD_FTBELVOR_VA,UURWMEA110,"DD_FTBELVOR_VA -> UJEWBEL030 ->(0.5, N/A)-> UJPWBEL010 -> [UJP_MESH] -> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 -> UURWMEA110",1.73,0.18,0.0,1:2XaIRkEUFNCxEu42Dnch/3qIkxI=,3,True
10,DD_FTBELVOR_VA,UURWMEA110,"DD_FTBELVOR_VA -> UJEWBEL040 ->(0.5, N/A)-> UJEWBEL030 ->(0.5, N/A)-> UJPWBEL010 -> [UJP_MESH] -> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 -> UURWMEA110",2.23,0.18,0.5,1:7lXFrPaQhpCOK0TwYYQCu0O9W8Y=,3,True
11,DD_FTBELVOR_VA,UURWMEA120,"DD_FTBELVOR_VA -> UJEWBEL030 ->(0.5, N/A)-> UJPWBEL010 -> [UJP_MESH] -> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 -> UURWMEA120",1.23,0.18,0.0,1:+rtjcmhsffwjzA7a7jUCUCmXBB4=,5,True
12,DD_FTBELVOR_VA,UURWMEA120,"DD_FTBELVOR_VA -> UJEWBEL040 ->(0.5, N/A)-> UJEWBEL030 ->(0.5, N/A)-> UJPWBEL010 -> [UJP_MESH] -> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 -> UURWMEA120",1.73,0.18,0.5,1:Tss/TCxmrSwkWs0JELMVNuZKFoM=,5,True
13,DE_ARLINGTN_VA,UURWMEA110,"DE_ARLINGTN_VA -> UJEWBEL040 ->(0.5, N/A)-> UJEWBEL030 ->(0.5, N/A)-> UJPWBEL010 -> [UJP_MESH] -> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 -> UURWMEA110",2.23,0.18,0.0,1:HjANi1UXp5IHBwRjjl9zWyTedMA=,2,False
14,DE_ARLINGTN_VA,UURWMEA120,"DE_ARLINGTN_VA -> UJEWBEL040 ->(0.5, N/A)-> UJEWBEL030 ->(0.5, N/A)-> UJPWBEL010 -> [UJP_MESH] -> UJPWPNT010 ->(0.73, 0.18)-> UJEWMEA030 -> UURWMEA120",1.73,0.18,0.0,1:0sLkYZQq1iIZdYW0bdUYUbiLnh4=,2,False
15,DF_BALTIMOR_MD,UURWMEA110,DF_BALTIMOR_MD -> UJEWMEA040 -> UURWMEA110,0.0,0.0,0.0,1:+BpdyNiwjku89tsjgT9lOZakEP4=,2,False
16,DF_BALTIMOR_MD,UURWMEA120,"DF_BALTIMOR_MD -> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",0.5,0.0,0.0,1:2EA9QZiijMaIy+YLy+9vQAAa7DQ=,3,False
17,DK_ADDISON_TX,UURWMEA110,"DK_ADDISON_TX -> UJEWSNA040 ->(4.5, 3.35)-> UJPWTIN010 -> [UJP_MESH] -> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 -> UURWMEA110",6.885,3.99,0.0,1:8Q5/ntRd3YH5s3IQdIBds+Zf4Ss=,2,False
18,DK_ADDISON_TX,UURWMEA120,"DK_ADDISON_TX -> UJEWSNA040 ->(4.5, 3.35)-> UJPWTIN010 -> [UJP_MESH] -> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",7.385,3.99,0.0,1:1lzmtIVxIUoMZQ/3Aa/loW2+ITw=,3,False
19,DK_AKRON_OH,UURWMEA110,"DK_AKRON_OH -> UJEWMEC040 ->(0.5, N/A)-> UJEWMEC030 ->(0.5, N/A)-> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 -> UURWMEA110",3.385,0.64,0.0,1:Nqzfge0vEu0TmM7NtnRU5pHuDnc=,2,False
20,DK_AKRON_OH,UURWMEA120,"DK_AKRON_OH -> UJEWMEC040 ->(0.5, N/A)-> UJEWMEC030 ->(0.5, N/A)-> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",3.885,0.64,0.0,1:evcVIhGg319S7CMefALwt2a9qvA=,3,False
21,DK_AMARILLO_TX,UURWMEA110,"DK_AMARILLO_TX -> UJEWSNA040 ->(4.5, 3.35)-> UJPWTIN010 -> [UJP_MESH] -> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 -> UURWMEA110",6.885,3.99,0.0,1:LfjlnEnEVTMDLNMhiu3neFNrp/4=,2,False
22,DK_AMARILLO_TX,UURWMEA120,"DK_AMARILLO_TX -> UJEWSNA040 ->(4.5, 3.35)-> UJPWTIN010 -> [UJP_MESH] -> UJPWMEC010 ->(2.38, 0.64)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",7.385,3.99,0.0,1:X/ua2kHe5b2pZaE1ptlFtEEclWA=,2,False
23,DK_ANDOVER_MA,UURWMEA110,"DK_ANDOVER_MA -> UJEWHAN030 ->(5.0, 2.98)-> UJEWMEA040 -> UURWMEA110",5.0,2.98,0.0,1:jc2WfUtP7EpbPmis/xQ572VIMDc=,2,False
24,DK_ANDOVER_MA,UURWMEA120,"DK_ANDOVER_MA -> UJEWHAN030 ->(5.0, 2.98)-> UJEWMEA040 ->(0.5, N/A)-> UJEWMEA030 -> UURWMEA120",5.5,2.98,0.0,1:JejxwXLqWtSUK+szz0B/UT/FZzI=,2,False
25,DK_ANNAPOLS_MD,UURWMEA110,DK_ANNAPOLS_MD -> UJEWMEA040 -> UURWMEA110,0.0,0.0,0.0,1:0JOjddCyc4POVNw4/40dVfm4XAI=,3,False
